e1246,WebODF – publish and edit OpenDocument files in your web site or web app,Stage 12,https://voicerepublic.com/talk/856,2014-05-08 19:30:00 +0200
e1446,Netboot als Alternative zur Desktop-Virtualisierung,Stage D,https://voicerepublic.com/talk/881,2014-05-08 19:30:00 +0200
e1649,PostfixAdmin 3.0 - Mailserver verwalten leicht gemacht,Stage B,https://voicerepublic.com/talk/897,2014-05-08 20:15:00 +0200
e1550,OSLiC & OSCAd 2.0: Free license advice,Stage C,https://voicerepublic.com/talk/892,2014-05-08 20:30:00 +0200
e1150,Vom Aussterben bedroht: die Universalmaschine Computer,Stage 11,https://voicerepublic.com/talk/842,2014-05-08 20:30:00 +0200
e1350,Linux Desktops - Dead or Alive?,Stage E,https://voicerepublic.com/talk/869,2014-05-08 20:30:00 +0200
e1250,When dynamic becomes static: The next step in web caching techniques,Stage 12,https://voicerepublic.com/talk/857,2014-05-08 20:30:00 +0200
e1651,Roll your own video conferences with WebRTC and the Jitsi VideoBridge,Stage B,https://voicerepublic.com/talk/898,2014-05-08 20:45:00 +0200
e1552,The Need for Integrated Open-Source-Systems and How To Get There (Call for Participation),Stage C,https://voicerepublic.com/talk/893,2014-05-08 21:00:00 +0200
e1152,Reducing iptables configuration complexity using chains,Stage 11,https://voicerepublic.com/talk/843,2014-05-08 21:00:00 +0200
e1252,EPFL: Building web tools fast,Stage 12,https://voicerepublic.com/talk/858,2014-05-08 21:00:00 +0200
e1353,What's cooking in GNOME - 3.12 under the hood,Stage E,https://voicerepublic.com/talk/870,2014-05-08 21:15:00 +0200
e1454,UEFI is not your enemy,Stage D,https://voicerepublic.com/talk/882,2014-05-08 21:30:00 +0200
e1254,Emscripten: Porting Native C/C++ Code to Javascript,Stage 12,https://voicerepublic.com/talk/859,2014-05-08 21:30:00 +0200
e1554,How open development data benefits your project and your community,Stage C,https://voicerepublic.com/talk/894,2014-05-08 21:30:00 +0200
e1154,"Ubuntu Privacy Remix: Radikaler Ansatz gegen Bespitzelung durch NSA, Verfassungsschutz & Co.",Stage 11,https://voicerepublic.com/talk/844,2014-05-08 21:30:00 +0200
e1654,Neues von Dovecot: IMAP-Server aller Größenordungen,Stage B,https://voicerepublic.com/talk/899,2014-05-08 21:30:00 +0200
e206,Eröffnung Freitag,Stage 11,https://voicerepublic.com/talk/900,2014-05-09 09:30:00 +0200
e2208,Build Your Own SNMP Agent,Stage 12,https://voicerepublic.com/talk/903,2014-05-09 10:00:00 +0200
e2408,An Introduction to OpenStack,Stage D,https://voicerepublic.com/talk/925,2014-05-09 10:00:00 +0200
e2308,MARS Light: Replicating Block Devices over Long Distances,Stage E,https://voicerepublic.com/talk/912,2014-05-09 10:00:00 +0200
e2210,Sicheres Anwendungs-Monitoring mit SNMP,Stage 12,https://voicerepublic.com/talk/904,2014-05-09 10:30:00 +0200
e2311,Thin Provisioning and Caching on SSDs using LVM and Device-mapper,Stage E,https://voicerepublic.com/talk/913,2014-05-09 10:45:00 +0200
e2411,Highly Available OpenStack done right,Stage D,https://voicerepublic.com/talk/926,2014-05-09 10:45:00 +0200
